term,estimate,std.error,statistic,p.value
(Intercept),-14.454202316462975,3956.1820177016875,-0.003653573635335421,0.9970848764900807
patient_nbr,5.633795112375648e-10,3.1782275842107034e-10,1.7726216776810124,0.07629141719269632
raceAfricanAmerican,0.1357101891754528,0.08375771965777322,1.6202708207667647,0.10517411407779223
raceAsian,0.14563730262020047,0.15878512716578044,0.9171973800049111,0.35903921949061685
raceCaucasian,0.1764915819230091,0.08046927110115641,2.193279241974801,0.028287266286758515
raceHispanic,0.14140939307000788,0.11069110607117431,1.2775135969739224,0.2014209831674523
raceOther,0.016464137727240594,0.12242608565600761,0.13448226853794437,0.8930212313756999
genderMale,-0.0034449421875488834,0.021994947292540874,-0.1566242529127207,0.8755409873854397
genderUnknown/Invalid,-13.984433551266376,2129.4061746271777,-0.006567292664920918,0.9947600962420051
age[10-20),0.5597063045735945,0.6622773974337253,0.8451236698435036,0.3980417939817565
age[20-30),1.0284473620154568,0.6671741117506325,1.5414977048747605,0.12319570108802744
age[30-40),1.0007186814563855,0.6654945774952813,1.5037217661829576,0.1326530223659707
age[40-50),0.9553082098480812,0.664780474543887,1.4370280813429852,0.15071001457635527
age[50-60),0.8868409491196686,0.664813803867084,1.3339689157491899,0.18221404394094795
age[60-70),1.02945665595017,0.6647450660416391,1.5486488107091656,0.12146616550357624
age[70-80),1.0930317476699734,0.664802342334296,1.6441454520633172,0.10014616123995941
age[80-90),1.1196069297073832,0.6650476748385965,1.6834987506408556,0.0922785810317724
age[90-100),1.034237812633796,0.6676293309983511,1.5491197953918991,0.12135292510942376
weightTRUE,0.11313459704713959,0.06546883447271383,1.728067987742961,0.08397603596954518
admission_type_idTRUE,0.03773289797820034,0.05002064680898119,0.7543464626176208,0.45064120991708134
discharge_disposition_idTRUE,-0.02827384204521056,0.053209926618693476,-0.5313640488141083,0.5951665294727897
admission_source_idTRUE,0.19093681138000418,0.06395246802866777,2.9856050480243157,0.0028301791238742086
time_in_hospital,0.0036787129034577377,0.004442856068181494,0.8280063200344621,0.4076669206970078
payer_codeCH,0.05990004711741367,0.30721916177396796,0.1949749708694416,0.8454125419261855
payer_codeCM,0.025717374462474886,0.09660248457103793,0.26621856132036925,0.7900708888107291
payer_codeCP,-0.05070353085445835,0.09315192787353939,-0.5443100536071795,0.5862281297820767
payer_codeDM,0.018980308984901655,0.1552879777192453,0.12222651916568406,0.9027196246521918
payer_codeFR,-14.947761256342988,3956.1803318579205,-0.0037783316235544674,0.9969853347047624
payer_codeHM,0.054424764807631344,0.07080389178962299,0.7686691145359871,0.4420897644023864
payer_codeMC,0.0981559141015003,0.059320499073725406,1.65467107718546,0.09799123703806219
payer_codeMD,0.11784460799154582,0.07873746330434492,1.4966777318700193,0.13447713319482288
