term,estimate,std.error,statistic,p.value
medical_specialtyAnesthesiology-Pediatric,0.1414359791268031,1.3125569259837202,-1.4901510707052348,0.13618451834705791
medical_specialtyCardiology,0.14868891950776714,0.795531758685931,-2.3957546926750592,0.01658618655909869
medical_specialtyCardiology-Pediatric,0.5512352268546441,1.3706826820676865,-0.4345233654213731,0.6639084312852328
medical_specialtyDCPTEAM,1.7859129071021008e-6,214.42227516571162,-0.061726706475298314,0.950780471825611
medical_specialtyDentistry,1.828325750080216e-6,265.3604651587487,-0.049789292812105264,0.9602902991998571
medical_specialtyDermatology,2.833619248337182e-6,535.4117599231848,-0.023858190524022382,0.980965723909693
medical_specialtyEmergency/Trauma,0.1778420347646475,0.7950492499675857,-2.172015844195128,0.029854467849433686
medical_specialtyEndocrinology,0.07735991495598186,0.89888131924943,-2.8471906939870224,0.004410693269269135
medical_specialtyEndocrinology-Metabolism,0.2884755234135147,1.3369579966289151,-0.92983103479846,0.35245857497144967
medical_specialtyFamily/GeneralPractice,0.20368926027270076,0.7946913364424326,-2.0022360977516653,0.045259345059304894
medical_specialtyGastroenterology,0.19693131154927657,0.8056208438517567,-2.016954123995058,0.04370030102577491
medical_specialtyGynecology,3.08660576488419e-6,69.97851931265859,-0.18131904837936141,0.8561171553883773
medical_specialtyHematology,0.5035842231947819,0.8322037942692465,-0.8243224917684282,0.4097563420357027
medical_specialtyHematology/Oncology,0.3545036593056235,0.81457343919655,-1.2731038856905168,0.20298118030068435
medical_specialtyHospitalist,0.1202427077860344,0.9502638246764296,-2.229110441690578,0.025806557338997362
medical_specialtyInfectiousDiseases,0.42245812348549067,0.8938188346441059,-0.9640263996573637,0.335032690420585
medical_specialtyInternalMedicine,0.1854620659599486,0.7941357816600061,-2.121683662833598,0.03386431144843905
medical_specialtyNephrology,0.2020934037333515,0.7974070097450112,-2.005281210462634,0.044932992380033114
medical_specialtyNeurology,0.1276081889149856,0.8485927876002467,-2.426123299377826,0.01526108441536578
medical_specialtyNeurophysiology,3.295044541381055e-6,535.4117596117906,-0.02357641692700948,0.9811904834879467
medical_specialtyObsterics&Gynecology-GynecologicOnco,0.16070242707226776,1.084854805632343,-1.685203304382834,0.09194935376315261
medical_specialtyObstetrics,0.1488079697829495,1.3003283959257899,-1.465090359956187,0.14289626641677078
medical_specialtyObstetricsandGynecology,0.10374242130568884,0.8149899374190118,-2.7802112224491298,0.005432355150830479
medical_specialtyOncology,0.2882089001635026,0.807069494291501,-1.5414654162910055,0.12320355364863177
medical_specialtyOphthalmology,0.11710428957691248,1.0776103235107042,-1.9902281284026082,0.046565811079977884
medical_specialtyOrthopedics,0.23091825714809563,0.7987647164131109,-1.8349477213101082,0.06651343589343416
medical_specialtyOrthopedics-Reconstructive,0.14899305213937408,0.8012129443851241,-2.376216731648104,0.017491185659957588
medical_specialtyOsteopath,0.12361520685277934,1.0058449292242588,-2.0784334125433324,0.037669457947446826
medical_specialtyOtolaryngology,0.0328085065364118,1.067660153101604,-3.200519792433244,0.0013717994740434535
